K,r,T,Ucpu,Uds1,Uds2,Uds3,Udu1,Udu2,Udu3,Udu4,Udu5,Xcpu,Xds1,Xds2,Xds3,Xdu1,Xdu2,Xdu3,Xdu4,Xdu5,Jcpu,Jds1,Jds2,Jds3,Jdu1,Jdu2,Jdu3,Jdu4,Jdu5
2,0.3,0.0568929794858134,0.14834233992689458,0.09891682548220301,0.11338477221002641,0.07364937773178774,0.29938839862810357,0.3020744188745683,0,0,0,37.28334732309055,9.970806621490151,7.559053996365896,4.917520231029256,11.868383594644452,11.88849951747635,0,0,0,0.17141372149973322,0.10948965329261384,0.12769439163700422,0.08004841552495238,0.4299473417344518,0.43302428958229583,0,0,0
2,0.55,0.07836030214859194,0.2702841775232974,0.17934083003164455,0.20425175653308278,0.13556735640787307,0.5440797024576711,0.5459279832567296,0,0,0,67.82553474732269,18.056721681881605,13.625210132305774,9.0169654030873,21.702295166682614,21.633356316739913,0,0,0,0.360257922473691,0.21816860248275935,0.2581332698933717,0.15692534341889516,1.2076721544439168,1.1947349459862444,0,0,0
2,0.8,0.1477515329124618,0.3937910166926099,0.261679187249621,0.29857328023687624,0.19529817297806357,0.7898724444249025,0.7940278603594157,0,0,0,98.72467417700726,26.394539074540543,19.825536857005922,12.994219734242417,31.523710926220133,31.562614007028497,0,0,0,0.6369891217413406,0.3542456541019871,0.42955569225189766,0.2429902301322083,3.790413111118464,3.866975029509265,0,0,0
2,1.0,2.22228318442664,0.4929056973031615,0.326800406790468,0.3744549638979193,0.24378411923077828,0.9858944867310533,0.9929099799640541,0,0,0,123.45793068759745,32.92103513990645,24.822858165896804,16.228388362682058,39.42774728559526,39.47280787057526,0,0,0,0.9781475434044529,0.48494420987874426,0.602606650577719,0.32266891013767773,79.60303325909722,93.35300076104045,0,0,0
3,0.3,0.05820419401353946,0.22234469938742935,0.14781002356988648,0.16871715145682736,0.11141290345358451,0.30037949557201404,0.3010137035755253,0.29760085418725063,0,0,55.831053891778446,14.909405793836761,11.244350093770384,7.4116218070208815,11.907069181250028,11.842536633756579,11.91244125219988,0,0,0.2792178995683719,0.17325899490639476,0.20259733897314594,0.12533156476525859,0.43144910946866816,0.43483583245131463,0.42901194182199986,0,0
3,0.55,0.08234110370850314,0.40734901783184113,0.2712330698973367,0.3082052651643102,0.20392083176941528,0.5457707149739843,0.5474997778634487,0.5469539074290739,0,0,102.25897054191866,27.32302932174208,20.452263242312377,13.56792400388189,21.77226794247986,21.684099305421334,21.90756729960982,0,0,0.674673929665468,0.36947630317335384,0.4467551225702851,0.2561936134939559,1.2069214932610683,1.216099903226653,1.2121664755022084,0,0
3,0.8,0.15796101443090857,0.5930084302556415,0.39346163744694573,0.4484897564648579,0.29475602798670625,0.7914245888356392,0.7931861010315905,0.8000169147216796,0,0,148.4703142491206,39.60265267666704,29.778882359645227,19.59189068943067,31.57699078140231,31.520352209381564,31.829980856758684,0,0,1.4731803946905708,0.6453080314934445,0.8155677613616046,0.4194024383125913,3.6979738328159493,3.9825040193058956,3.961139763326039,0,0
3,1.0,3.3301008351758434,0.7414387521916298,0.49347063982283784,0.5593504111601747,0.37125734740484123,0.9872605568908956,0.9922995572917155,0.9934219850039521,0,0,185.74159107576781,49.54424469691041,37.10228375798825,24.613210584255206,39.47584266621765,39.44856014973597,39.576589086105976,0,0,2.943071699960809,0.9715129633951468,1.2725533192999257,0.592025581025513,61.93130152121218,117.21316136144375,209.48747396609335,0,0
4,0.3,0.059365224917117966,0.29750979646850334,0.19921305736060851,0.22114590620074154,0.14876068858043215,0.2957486028013898,0.2998773190425011,0.2931435455812519,0.29859695733634395,0,74.29315338952873,19.86664373841873,14.748205208123546,9.786829512747628,11.932292626582765,11.884559982371357,11.713842147810578,11.930423219485364,0,0.41299280413936734,0.247914362106972,0.28315165641850026,0.17339031042110592,0.42885589889710807,0.4248046034161565,0.41342785318080594,0.43301451629611387,0
4,0.55,0.08765412914626576,0.5403372791823223,0.3609429100241968,0.4041640648425456,0.2676234178232495,0.5384069001810569,0.5400141471411689,0.5484671081064509,0.5480327761332972,0,135.28932048647803,36.115119470233616,26.979749233594852,17.807856798119712,21.552580172518766,21.636256369076705,21.775061938502727,21.776903271740423,0,1.1855232154458932,0.5675664330742299,0.6693723166399407,0.3633152043643886,1.1825254391886884,1.1791294767903784,1.2093717537487514,1.2464777006889862,0
