K,r,T,Ucpu,Uds1,Uds2,Uds3,Udu1,Udu2,Udu3,Udu4,Udu5,Xcpu,Xds1,Xds2,Xds3,Xdu1,Xdu2,Xdu3,Xdu4,Xdu5,Jcpu,Jds1,Jds2,Jds3,Jdu1,Jdu2,Jdu3,Jdu4,Jdu5
2,0.3,0.05622363131293082,0.14825553069840441,0.09916314336447468,0.11190042599126031,0.07449861962453841,0.2964780855177686,0.297817290508905,0.0,0.0,0.0,37.15136217887919,9.927728580959997,7.444884659155301,4.95480999419426,11.86136242595007,11.896690457362473,0.0,0.0,0.0,0.1713099857016264,0.1099509307313585,0.12559249615980309,0.08054804487064064,0.42320955891074546,0.425186279664139,0.0,0.0,0.0
2,0.55,0.07764742917215589,0.2721923133008675,0.18157910792713317,0.20438865453464194,0.13602674452631208,0.5445217925284745,0.5429197761937358,0.0,0.0,0.0,68.08617530555561,18.14134835720303,13.620669721971296,9.095275468972517,21.792878549430107,21.764962965703912,0.0,0.0,0.0,0.3647733603156228,0.2221592153191567,0.2568228703505474,0.15753935522332738,1.195072124717573,1.1858926168669186,0.0,0.0,0.0
2,0.8,0.1468756025496123,0.3961150359728147,0.2638351513005389,0.2976151206958445,0.19780498111605238,0.7925872067679556,0.7921621631710398,0.0,0.0,0.0,99.03598894555076,26.359949914782064,19.833558760934608,13.20167315542172,31.678626404368096,31.695154965805436,0.0,0.0,0.0,0.6473253475557291,0.3579573532086697,0.42327234613393444,0.24612016531124428,3.8079140264381897,3.825977923194638,0.0,0.0,0.0
2,1.0,2.057902047547108,0.4954895681146252,0.33087494154915253,0.3709414289206561,0.24810156937021283,0.9881081660513402,0.9877265100111876,0.0,0.0,0.0,123.84962535870449,33.069849586322924,24.728392820114358,16.530210188137143,39.55243255622042,39.56343758435145,0.0,0.0,0.0,0.9905391269248782,0.49343745646605336,0.588398844653983,0.32884304469460823,81.55018873194295,78.83049777306259,0.0,0.0,0.0
3,0.3,0.05749943716566796,0.22304177851290075,0.1485058731248679,0.1670402117918273,0.11087116574700351,0.2965587032381589,0.29745796160827787,0.29618045555340367,0.0,0.0,55.68992954339151,14.842674433709506,11.126719803292174,7.400834165662409,11.851365989860591,11.882568487934883,11.883583504532773,0.0,0.0,0.28108801975747294,0.17486925825573302,0.20059440653117708,0.12474985650478079,0.4223543701714581,0.42374155274677355,0.42061202286359534,0.0,0.0
3,0.55,0.0817071163167102,0.40829913702606974,0.2718015918560037,0.3061090532410239,0.204232429828381,0.5455838846077061,0.543697578853098,0.5446158727974574,0.0,0.0,102.06448037196792,27.216792869557462,20.406799376103216,13.604753430236137,21.795962285676577,21.730317306337433,21.79636302756657,0.0,0.0,0.6804253007874366,0.3732067859782194,0.4408452721618124,0.2565221473740088,1.2000680386370113,1.1920585608096972,1.1942827465008852,0.0,0.0
3,0.8,0.15539143682712728,0.593734815766282,0.3958602375192873,0.4454668250364917,0.2966436809435039,0.7913928710050615,0.7910693532287902,0.7925001520167199,0.0,0.0,148.4058543747169,39.570746107851924,29.69258255065603,19.76743687577254,31.66258033190344,31.650541793818732,31.68284704503576,0.0,0.0,1.4888180024050357,0.6540606999810463,0.8010043788583553,0.4209309734975743,3.810388826547862,3.772648028391821,3.8141953177962917,0.0,0.0
3,1.0,2.070310466194456,0.7420699160659663,0.4949678907942135,0.5566107941899157,0.37099790752771994,0.9886737565300363,0.9882581207479332,0.9894168044830157,0.0,0.0,185.57113729015816,49.49060956014952,37.097141063483356,24.719739760977124,39.53002875457382,39.533026939993846,39.5584673481819,0.0,0.0,2.979707945443583,0.9781875561693696,1.2515973276893646,0.5880719805440217,80.92994748839533,78.04719378220011,80.83183855229794,0.0,0.0
4,0.3,0.059134522666886145,0.2971838982919142,0.19818511324940466,0.22306832784619765,0.14888848029858287,0.29706636684411003,0.29677787530408717,0.29770957461577235,0.2967312532221051,0.0,74.28223311946088,19.781002595471286,14.88130401597686,9.915774760286055,11.880216124116492,11.882387128980593,11.896956123812378,11.883091994397397,0.0,0.4135177969942305,0.24732554307269278,0.2869984385282684,0.1749095943607121,0.4227538065108936,0.4209333932417071,0.4235068209153788,0.42149573457419465,0.0
4,0.55,0.087246201482022,0.5442610322442808,0.36294819600885675,0.4082798662281508,0.2720304775968636,0.5449977026791367,0.54425684922931,0.5444302357170332,0.5435145030688582,0.0,136.10979963688226,36.284329161052234,27.220574211039747,18.140712744995913,21.791851148566284,21.78112035761358,21.779988861603684,21.751036598819425,0.0,1.2016972948015652,0.5683836616288461,0.688681935702787,0.3729262092476555,1.195755805801361,1.1909295050861348,1.1913828239938415,1.1898356886176868,0.0
4,0.8,0.1761850469351491,0.7917470934127305,0.5276105196374902,0.5932663233456437,0.3961417857833176,0.7920380487580345,0.791732586034516,0.7920504728355822,0.7915112276878885,0.0,197.86529361601316,52.74934574028458,39.561892408768216,26.394998872789273,31.666335894596667,31.658407616330877,31.679074235067493,31.65251521215336,0.0,3.8877872991428704,1.114279781417868,1.4507530105293385,0.654771359400972,3.8117881204897794,3.797407555141406,3.8075547387799444,3.7911615816821573,0.0
4,1.0,2.817533771528929,0.9898936084846234,0.6597788046533221,0.741964120020871,0.49579950714199733,0.9881478980898244,0.9884157409760946,0.988005747526492,0.9890741156020535,0.0,247.44400651505765,65.98724281356724,49.483557401101464,33.01613540472448,39.52571065787243,39.56682662932139,39.52781851665767,39.545578971165526,0.0,92.95448133794062,1.9318060144690663,2.8701926276884357,0.9821825259324304,81.57347114738285,86.1494853678004,85.21276548527813,94.07592581172497,0.0
5,0.3,0.05640289449726424,0.2969358156421062,0.197808971222864,0.22261560241132677,0.14812685091474206,0.23737483383905417,0.23750273838832445,0.2377283405830614,0.23836877020288402,0.23760115865712605,74.15756788933123,19.75729193787976,14.830325318610942,9.865869584285742,9.486419176202414,9.495926963565918,9.500864526946154,9.520477417583164,9.494101712559802,0.4128836263434897,0.2466185066108907,0.28647706183269844,0.17394281268820092,0.31100986159068955,0.3115687223782121,0.31188370046854674,0.31298903141780143,0.31164652867682713
