K,r,T,Ucpu,Uds1,Uds2,Uds3,Udu1,Udu2,Udu3,Udu4,Udu5,Xcpu,Xds1,Xds2,Xds3,Xdu1,Xdu2,Xdu3,Xdu4,Xdu5,Jcpu,Jds1,Jds2,Jds3,Jdu1,Jdu2,Jdu3,Jdu4,Jdu5
2,0.3,0.05597175669952177,0.14797294646140563,0.09889100257041267,0.11134048879372893,0.07391720411505959,0.29630238908181605,0.29732041688785804,0.0,0.0,0.0,37.06211392927903,9.897250016748412,7.411250434389659,4.9336195292688245,11.856231210292636,11.868720203681912,0.0,0.0,0.0,0.17121827893427402,0.11006629567294317,0.12538480985303987,0.07966994841521564,0.41962626961940314,0.42201973349444033,0.0,0.0,0.0
2,0.55,0.07785916832325432,0.2725713935076008,0.18141558233960006,0.2029590973960619,0.13549575247736795,0.5454114345999224,0.5440268047958129,0.0,0.0,0.0,68.04678990905067,18.165153946177774,13.583601155534168,9.059045674508702,21.7895518454058,21.77812128806819,0.0,0.0,0.0,0.36547157390781876,0.22212540510183648,0.25532616307091294,0.15672602004253003,1.1982152687823584,1.1943586069939978,0.0,0.0,0.0
2,0.8,0.14593867952724676,0.3955996326347663,0.2633139343468758,0.2963803662977021,0.19687515949342813,0.7908478899504839,0.7916729656204743,0.0,0.0,0.0,98.90218854302522,26.349046239745306,19.78068743360761,13.138125249909097,31.63616166006716,31.65459641340286,0.0,0.0,0.0,0.6454584476157567,0.35744003758428605,0.42065377794922143,0.24529365985777374,3.762582174609162,3.8054315386974262,0.0,0.0,0.0
2,1.0,2.263508701781586,0.495066792105741,0.32953615541795067,0.37159212988701973,0.24640961363429123,0.9883302215275372,0.9887491349787578,0.0,0.0,0.0,123.7664445831984,33.0090083666531,24.795876191921966,16.430872893152895,39.534289487122614,39.55542261460743,0.0,0.0,0.0,0.9880180529853717,0.4909587556982756,0.5892092103703416,0.3260521105935337,92.44008679340051,84.21934040433398,0.0,0.0,0.0
3,0.3,0.05751945905754268,0.22284335602711935,0.14873376802040905,0.1665794374279501,0.11097279379786634,0.2975308263645686,0.2968578891967249,0.2978181644277281,0.0,0.0,55.69763686766705,14.85725886505891,11.102110642946869,7.427658729142961,11.872941274699878,11.86271912043625,11.896561127191582,0.0,0.0,0.280538652710432,0.1747734641484003,0.19962667153043995,0.1247415084887164,0.4224145672140721,0.4223632947103058,0.4250794772947156,0.0,0.0
3,0.55,0.08153951149864486,0.40800305792992114,0.27196054723527363,0.30479974324213094,0.2035807902979505,0.5448692052603128,0.5438341828274631,0.5437289490302242,0.0,0.0,101.95807636424897,27.193924711742817,20.333984101164223,13.58577927135049,21.792868444400007,21.7654146475804,21.739418298948245,0.0,0.0,0.679948986517769,0.3739258528939515,0.4379434388522812,0.2556608286780635,1.1974326641743287,1.189598349280392,1.1899117184383468,0.0,0.0
3,0.8,0.15597798051019895,0.5947452178448048,0.39624080848504045,0.4461930241574661,0.2972335608922317,0.7919552255140494,0.7928561104719111,0.7920357342834251,0.0,0.0,148.69511280134864,39.6406978292743,29.74383826691781,19.80802967201347,31.71272394103009,31.696863988575778,31.68624949788745,0.0,0.0,1.4958215197391405,0.6545919896152358,0.8026542946629851,0.42259940745884605,3.816344494495235,3.8149645456933183,3.8262360297032556,0.0,0.0
3,1.0,2.2118203607423452,0.7418643097021861,0.49478578805232976,0.5545464914600449,0.3704436615158416,0.9894434836300262,0.9882199217941985,0.9891600264566697,0.0,0.0,185.4302243153,49.48744304718145,36.99320532674864,24.73359920157249,39.521188063709936,39.498206074143866,39.551739212825844,0.0,0.0,2.9770549735346945,0.9774680810642198,1.2432574942666195,0.5882896409889825,90.00060968423426,84.05041237298263,82.44072072621688,0.0,0.0
4,0.3,0.05916052032770591,0.29679434326073484,0.1981370294157559,0.22285583463612796,0.14812207068919941,0.29690919155077033,0.2974896171767173,0.29608471364976846,0.2969567969468857,0.0,74.27961505982607,19.839734923449132,14.846718608001906,9.886247283513192,11.876368213975393,11.897212018008183,11.864801265425605,11.88655028311141,0.0,0.4127417545103436,0.24731588023182216,0.2872832988413274,0.1738860243421745,0.42221985069513374,0.4241010882443967,0.4214313951279064,0.4226262121202033,0.0
4,0.55,0.08720501399716514,0.5445009058249918,0.3628790383023734,0.4086610928682296,0.2718572411675844,0.5443987260073148,0.5445989812778733,0.5443554744815251,0.5433742504013844,0.0,136.13482682795006,36.32837823506298,27.23474071700933,18.135985009316386,21.791361195134513,21.78894732041181,21.78214191553744,21.74653319457622,0.0,1.1997938288079684,0.568420066172621,0.6883063377081904,0.3727475850048727,1.1920983369425846,1.1941571555903652,1.1928565617964262,1.188070498526074,0.0
4,0.8,0.17637096586439946,0.7921130066591973,0.5279481994461435,0.5933898950844114,0.3963127925277544,0.7926113772800939,0.79167675083972,0.7919198727007805,0.7917866907687673,0.0,197.99790331670684,52.799776144253755,39.58675103900883,26.42718540787186,31.7081819307946,31.67293858142527,31.673752768508674,31.670959232206233,0.0,3.8944818753467363,1.116652982450526,1.4528443096603545,0.6542506487562979,3.8024506965335503,3.81887794038404,3.790719625749964,3.8212264453738993,0.0
4,1.0,2.6892558165291636,0.9892832380091783,0.6586843521959801,0.7422390636507934,0.4949415581588969,0.9879531524452645,0.9883715162218633,0.9879511623561887,0.9873856136949992,0.0,247.24845840247042,65.88153515192543,49.475454553058626,33.000003398951726,39.518529098660125,39.51029846071069,39.509767592162675,39.51305112251947,0.0,92.11994175553912,1.9328500561696162,2.8857220141543034,0.9794627219052817,77.62766008776896,92.39356102838788,79.67323277039647,77.51692266229398,0.0
5,0.3,0.0563736044901332,0.2969394596817312,0.19825487288786492,0.22285307062418805,0.14785923397523784,0.2376504660817706,0.23777016462516362,0.23769077320901247,0.23786868019443289,0.23788149313679632,74.25054697498786,19.81961737793821,14.852384857687035,9.861877834284767,9.500990741781084,9.506601830249387,9.512236124722966,9.510650058728338,9.494892369280914,0.4129047779312892,0.24741597023298467,0.286985093581393,0.17360575703434125,0.31152812197984825,0.3111580839237061,0.31152687104093973,0.31202024115419463,0.3120366891743868
5,0.55,0.07668472955656233,0.5445008097767878,0.36315520565825826,0.4089200157235948,0.27244989979398393,0.4359448889276636,0.4355036039303139,0.43548906570940865,0.43535152976271446,0.4356715639073102,136.13819594291388,36.29962122941338,27.22149017917871,18.148034373986114,17.41671084989046,17.44030126745126,17.420246041137094,17.40953728073134,17.431807602823334,1.1997926765893079,0.569079994154187,0.6872370184768276,0.37365395947399366,0.7708678333082918,0.7708879036610644,0.768451695899124,0.7704789891673162,0.7702775597318795
