K,r,T,Ucpu,Uds1,Uds2,Uds3,Udu1,Udu2,Udu3,Udu4,Udu5,Xcpu,Xds1,Xds2,Xds3,Xdu1,Xdu2,Xdu3,Xdu4,Xdu5,Jcpu,Jds1,Jds2,Jds3,Jdu1,Jdu2,Jdu3,Jdu4,Jdu5
2,0.3,0.05617700211764563,0.14849999999999997,0.099,0.111375,0.07425000000000001,0.29700000000000004,0.29700000000000004,0,0,0,37.12499999999999,9.9,7.425,4.95,11.880000000000003,11.880000000000003,0,0,0,0.17439812096300641,0.10987791342952276,0.12533408355605571,0.08020523899540914,0.4224751066856331,0.4224751066856331,0,0,0
2,0.55,0.07807109705352445,0.27225,0.18150000000000005,0.20418750000000005,0.13612500000000002,0.5445000000000001,0.5445000000000001,0,0,0,68.0625,18.150000000000006,13.612500000000002,9.075000000000001,21.780000000000005,21.780000000000005,0,0,0,0.37409824802473374,0.2217470983506415,0.25657739731406587,0.15757488062509045,1.1953896816684966,1.1953896816684966,0,0,0
2,0.8,0.14676558248633953,0.396,0.26400000000000007,0.2970000000000001,0.19800000000000004,0.7920000000000001,0.7920000000000001,0,0,0,99.0,26.400000000000006,19.800000000000004,13.200000000000001,31.680000000000007,31.680000000000007,0,0,0,0.6556291390728477,0.35869565217391314,0.42247510668563315,0.24688279301745641,3.807692307692311,3.807692307692311,0,0,0
2,1.0,2.530203235406342,0.49499999999999994,0.33000000000000007,0.37125,0.24750000000000003,0.9900000000000001,0.9900000000000001,0,0,0,123.74999999999999,33.00000000000001,24.75,16.5,39.6,39.6,0,0,0,0.9801980198019798,0.4925373134328359,0.5904572564612327,0.3289036544850499,99.00000000000061,99.00000000000061,0,0,0
3,0.3,0.05764071612147744,0.22274999999999998,0.14850000000000002,0.16706250000000003,0.11137500000000002,0.29699999999999993,0.29699999999999993,0.29699999999999993,0,0,55.68749999999999,14.850000000000003,11.137500000000001,7.425000000000001,11.879999999999999,11.879999999999999,11.879999999999999,0,0,0.2865873271148279,0.1743981209630065,0.2005702708786674,0.12533408355605571,0.4224751066856329,0.4224751066856329,0.4224751066856329,0,0
3,0.55,0.08185814113806926,0.40837500000000004,0.2722500000000001,0.3062812500000001,0.20418750000000008,0.5445,0.5445,0.5445,0,0,102.09375000000001,27.225000000000012,20.418750000000006,13.612500000000004,21.78,21.78,21.78,0,0,0.690259877456159,0.37409824802473396,0.44150637416099847,0.2565773973140659,1.1953896816684961,1.1953896816684961,1.1953896816684961,0,0
3,0.8,0.15538364758414588,0.5940000000000001,0.39600000000000013,0.4455000000000002,0.2970000000000001,0.7919999999999999,0.7919999999999999,0.7919999999999999,0,0,148.50000000000003,39.600000000000016,29.70000000000001,19.800000000000004,31.68,31.68,31.68,0,0,1.4630541871921188,0.6556291390728481,0.803426510369703,0.42247510668563315,3.807692307692307,3.807692307692307,3.807692307692307,0,0
3,1.0,2.5480711279356885,0.7425,0.49500000000000016,0.5568750000000001,0.3712500000000001,0.9899999999999999,0.9899999999999999,0.9899999999999999,0,0,185.625,49.500000000000014,37.12500000000001,24.750000000000004,39.599999999999994,39.599999999999994,39.599999999999994,0,0,2.883495145631069,0.9801980198019807,1.2566995768688298,0.5904572564612328,98.99999999999888,98.99999999999888,98.99999999999888,0,0
4,0.3,0.05934856427869226,0.29699999999999993,0.198,0.22275,0.14850000000000002,0.29700000000000004,0.29700000000000004,0.29700000000000004,0.29700000000000004,0,74.24999999999999,19.8,14.85,9.9,11.880000000000003,11.880000000000003,11.880000000000003,11.880000000000003,0,0.4224751066856329,0.24688279301745636,0.28658732711482793,0.17439812096300647,0.4224751066856331,0.4224751066856331,0.4224751066856331,0.4224751066856331,0
4,0.55,0.08736415572244298,0.5445,0.3630000000000001,0.4083750000000001,0.27225000000000005,0.5445000000000001,0.5445000000000001,0.5445000000000001,0.5445000000000001,0,136.125,36.30000000000001,27.225000000000005,18.150000000000002,21.780000000000005,21.780000000000005,21.780000000000005,21.780000000000005,0,1.1953896816684961,0.5698587127158559,0.6902598774561591,0.37409824802473385,1.1953896816684966,1.1953896816684966,1.1953896816684966,1.1953896816684966,0
4,0.8,0.17578747579326967,0.792,0.5280000000000001,0.5940000000000002,0.3960000000000001,0.7920000000000001,0.7920000000000001,0.7920000000000001,0.7920000000000001,0,198.0,52.80000000000001,39.60000000000001,26.400000000000002,31.680000000000007,31.680000000000007,31.680000000000007,31.680000000000007,0,3.8076923076923084,1.1186440677966107,1.4630541871921192,0.6556291390728479,3.807692307692311,3.807692307692311,3.807692307692311,3.807692307692311,0
4,1.0,3.161646904267819,0.9899999999999999,0.6600000000000001,0.7425,0.49500000000000005,0.9900000000000001,0.9900000000000001,0.9900000000000001,0.9900000000000001,0,247.49999999999997,66.00000000000001,49.5,33.0,39.6,39.6,39.6,39.6,0,98.9999999999988,1.9411764705882364,2.8834951456310685,0.9801980198019803,99.00000000000061,99.00000000000061,99.00000000000061,99.00000000000061,0
5,0.3,0.056577872340827395,0.297,0.19800000000000004,0.22275000000000003,0.14850000000000005,0.2376,0.2376,0.2376,0.2376,0.2376,74.25,19.800000000000004,14.850000000000001,9.900000000000002,9.504,9.504,9.504,9.504,9.504,0.42247510668563293,0.24688279301745644,0.286587327114828,0.17439812096300653,0.3116474291710388,0.3116474291710388,0.3116474291710388,0.3116474291710388,0.3116474291710388
5,0.55,0.0767742400450112,0.5445000000000001,0.36300000000000016,0.40837500000000015,0.2722500000000001,0.43560000000000015,0.43560000000000015,0.43560000000000015,0.43560000000000015,0.43560000000000015,136.12500000000003,36.30000000000002,27.22500000000001,18.150000000000006,17.424000000000007,17.424000000000007,17.424000000000007,17.424000000000007,17.424000000000007,1.1953896816684966,0.5698587127158561,0.6902598774561594,0.37409824802473396,0.7717930545712265,0.7717930545712265,0.7717930545712265,0.7717930545712265,0.7717930545712265
5,0.8,0.12382660914899683,0.7920000000000001,0.5280000000000002,0.5940000000000003,0.3960000000000002,0.6336000000000002,0.6336000000000002,0.6336000000000002,0.6336000000000002,0.6336000000000002,198.00000000000003,52.800000000000026,39.600000000000016,26.40000000000001,25.344000000000005,25.344000000000005,25.344000000000005,25.344000000000005,25.344000000000005,3.807692307692311,1.1186440677966112,1.4630541871921199,0.655629139072848,1.7292576419213983,1.7292576419213983,1.7292576419213983,1.7292576419213983,1.7292576419213983
5,1.0,0.7818392119601252,0.9900000000000001,0.6600000000000003,0.7425000000000003,0.4950000000000001,0.7920000000000001,0.7920000000000001,0.7920000000000001,0.7920000000000001,0.7920000000000001,247.50000000000003,66.00000000000003,49.500000000000014,33.00000000000001,31.680000000000007,31.680000000000007,31.680000000000007,31.680000000000007,31.680000000000007,99.00000000000102,1.9411764705882377,2.8834951456310716,0.9801980198019807,3.807692307692311,3.807692307692311,3.807692307692311,3.807692307692311,3.807692307692311
