K,r,T,Ucpu,Uds1,Uds2,Uds3,Udu1,Udu2,Udu3,Udu4,Udu5,Xcpu,Xds1,Xds2,Xds3,Xdu1,Xdu2,Xdu3,Xdu4,Xdu5,Jcpu,Jds1,Jds2,Jds3,Jdu1,Jdu2,Jdu3,Jdu4,Jdu5
2,0.3,0.05645282283225161,0.14871966571475703,0.10047825578662291,0.11039886162869447,0.07407494067186066,0.29648719557559666,0.30058809111791873,0,0,0,37.10113793041889,9.989488300296763,7.366337289881974,4.909415660407312,11.810503950295939,11.89832842577289,0,0,0,0.1717990174667566,0.11225243369118774,0.12372530774030065,0.08062010513568084,0.42402324925809065,0.4260170521564798,0,0,0
2,0.55,0.0799221095624246,0.2739922752759669,0.18472638000060185,0.20696427777162707,0.1358391304231044,0.547426987230007,0.552216500661797,0,0,0,68.53949992825649,18.414145962844724,13.758485803699816,9.052094357858682,21.771600225602494,21.85017655205548,0,0,0,0.36952739565787907,0.22603844748367063,0.2611804778165191,0.1590678245950631,1.2301420414914395,1.2405556519528989,0,0,0
2,0.8,0.15292745544840847,0.3990072368016482,0.2690000958366841,0.2989867466725972,0.19805980434297174,0.7979932116007338,0.7985077774189527,0,0,0,99.74898099040811,26.83434859815637,19.98424978015448,13.1636371796975,31.7443321719851,31.790755014592268,0,0,0,0.6563779346125912,0.36332640944372313,0.42288422722833946,0.24902864166865646,4.201682228945007,3.8230364780757844,0,0,0
2,1.0,3.7777160600668305,0.49831986820529334,0.33498768881585256,0.37166032331383925,0.24990670568116094,0.9943656879130952,0.9944590890104765,0,0,0,124.60101278573714,33.44731316371991,24.8287093836459,16.60969706801627,39.61600949526889,39.625762883371095,0,0,0,1.0009756911727876,0.4961828858997938,0.5852485751084981,0.3350858943837853,164.68922317744295,132.2441063905033,0,0,0
3,0.3,0.057760808929407846,0.22431210047826727,0.15097716474545161,0.16838059017674892,0.11144511276472496,0.29837731123324396,0.3006317017649485,0.2997341504672767,0,0,56.05425221406672,15.087951135991522,11.209427638388053,7.398486779756598,11.879931650441916,11.9024818796078,11.94209376392448,0,0,0.2819966164161768,0.1790132940070935,0.20249132001176312,0.1263841200277496,0.41964951574960324,0.42818692254937474,0.4257719885926986,0,0
3,0.55,0.08217810705943654,0.4081225296760375,0.2744995903425006,0.3089173269753162,0.2047175183212183,0.5467988324622506,0.5510026780725491,0.5470117674275959,0,0,102.3187107312064,27.401796638753833,20.650050530861673,13.619348862531726,21.75077819184017,21.803413603772004,21.768276390559304,0,0,0.6783153782122346,0.3782187417092876,0.44604512231239,0.25877218278097197,1.1801356438288306,1.2356548465563542,1.1909836224466979,0,0
3,0.8,0.1538998411600478,0.5935524724258218,0.39772518713149896,0.4486049982879354,0.29863787762582206,0.7962041802173799,0.7964942035787979,0.7919084228217981,0,0,148.77967464267317,39.712126422974805,29.93794857302995,19.875449647531546,31.678973157734617,31.70895290026797,31.682936894257434,0,0,1.4834336725908008,0.6568501697134759,0.8032636631556674,0.4245104225119827,3.824562427683536,3.7615243401518894,3.677472957882535,0,0
3,1.0,1.9758822825098536,0.7431331489516814,0.4980533997983602,0.5584032387434082,0.37320912383829963,0.9934520506101637,0.9913062816550839,0.9900237216722779,0,0,186.10664526095226,49.753039979020166,37.320894385907984,24.829786473553145,39.581457021465994,39.50213029929963,39.68955061609745,0,0,2.9686648703225433,0.9880170547193736,1.2641211293674337,0.5941114512006976,68.86392602705577,87.79491431825966,72.19863371577962,0,0
4,0.3,0.059095051309404616,0.29458314772574157,0.19838130319258476,0.22149662861395605,0.14591442028908963,0.29870530400598916,0.29939229935710926,0.297114354484023,0.2940286448589816,0,74.02921426369649,19.86074236249051,14.716070274144696,9.787892723535466,11.954817540266106,11.839542154047546,11.90866263280821,11.71648508189926,0,0.40740565070756785,0.24406610679409152,0.2841222354281544,0.17161284847967542,0.4266516232224036,0.4277493580116445,0.4267220442812799,0.4139766874853015,0
4,0.55,0.08664055947355086,0.5457309400976917,0.36382977081831924,0.40739331791711925,0.274705074400859,0.5434472599932484,0.5548854204495187,0.5401837115200671,0.5380585812153695,0,136.07899455226593,36.478572640827416,27.044302474822832,18.34786597043744,21.763622576512784,22.031188653664614,21.755893717682884,21.737690021350996,0,1.2120134036599581,0.574417012441597,0.6877429331167559,0.37921455239752266,1.1808619039123325,1.2305695875537386,1.167021200130721,1.1310104236160778,0
4,0.8,0.1712692035546698,0.7890454483194673,0.5249345233633815,0.5869070092915992,0.39957379429516887,0.785431625447858,0.790034818368682,0.7985282143977445,0.7876495974687856,0,197.53259864659012,52.56964259065609,39.29419366778539,26.420653846292733,31.605710170926443,31.603765502716236,31.74605838940895,31.58826781348044,0,3.8312106460859643,1.0952547347253754,1.4051712284236495,0.6694742038413272,3.6448577290542628,3.609490681074604,3.844233322720747,3.573541095431003,0
4,1.0,3.194588760626401,0.9901786838030888,0.6581216738088144,0.7419457128024447,0.4935131571241081,0.9891776855277996,0.9973514100058853,0.98515043266635,0.9824274557434222,0,247.0249079083454,65.86766070527109,49.34321864226762,33.10488427272318,39.530838019375146,39.813184043347015,39.30023459523346,39.455806649126195,0,118.24135191950614,1.9065743312313455,2.8753531380205066,0.9802200448989554,68.0629706971474,213.33114074931063,56.585025588311034,43.30477294306601,0
